b'Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,26.18,26.50,26.040001,26.469999,52100,26.469999
2017-02-02,26.00,26.110001,25.549999,26.01,56200,26.01
2017-02-01,26.110001,26.43,25.85,26.07,124600,26.07
2017-01-31,26.25,26.25,25.93,25.950001,221900,25.950001
2017-01-30,26.51,26.51,26.18,26.23,121600,26.23
2017-01-27,26.60,26.719999,26.459999,26.52,64800,26.52
2017-01-26,26.870001,27.01,26.620001,26.620001,65100,26.620001
2017-01-25,26.969999,27.09,26.809999,26.85,29000,26.85
2017-01-24,26.76,27.030001,26.559999,26.889999,51700,26.889999
2017-01-23,26.90,26.959999,26.48,26.60,71600,26.60
2017-01-20,26.93,27.129999,26.93,26.99,61900,26.99
2017-01-19,27.200001,27.50,26.93,26.959999,62700,26.959999
2017-01-18,27.299999,27.370001,27.040001,27.27,62100,27.27
2017-01-17,27.33,27.459999,27.059999,27.290001,59700,27.290001
2017-01-13,27.18,27.440001,27.030001,27.379999,175800,27.379999
2017-01-12,27.709999,27.709999,27.139999,27.25,63800,27.25
2017-01-11,27.540001,27.75,27.059999,27.67,68300,27.67
2017-01-10,27.440001,27.65,27.32,27.51,109600,27.51
2017-01-09,28.040001,28.24,27.52,27.52,79300,27.52
2017-01-06,28.32,28.67,28.059999,28.17,129900,28.17
2017-01-05,28.450001,28.76,28.00,28.280001,92400,28.280001
2017-01-04,28.66,28.879999,28.26,28.50,129000,28.50
2017-01-03,28.860001,28.860001,28.25,28.530001,107900,28.530001
2016-12-30,28.719999,28.83,28.459999,28.639999,56000,28.639999
2016-12-29,28.700001,28.959999,28.65,28.77,44300,28.77
2016-12-28,28.870001,29.10,28.65,28.719999,30700,28.719999
2016-12-27,28.620001,29.110001,28.620001,28.93,82600,28.93
2016-12-23,28.82,29.040001,28.58,28.690001,28700,28.690001
2016-12-22,28.719999,28.85,28.459999,28.77,54800,28.77
2016-12-21,28.90,29.09,28.84,28.84,50600,28.84
2016-12-20,28.879999,29.059999,28.620001,28.91,79700,28.91
2016-12-19,29.00,29.059999,28.559999,28.73,80900,28.73
2016-12-16,28.75,28.98,28.74,28.860001,330200,28.860001
2016-12-15,28.469999,28.809999,28.290001,28.620001,108200,28.620001
2016-12-14,28.620001,28.83,28.33,28.530001,107700,28.530001
2016-12-13,28.799999,28.860001,28.540001,28.66,95200,28.66
2016-12-12,28.65,28.84,28.549999,28.799999,121900,28.799999
2016-12-09,28.860001,28.860001,28.60,28.780001,95300,28.780001
2016-12-08,28.59,28.809999,28.370001,28.780001,79400,28.780001
2016-12-07,28.15,28.84,28.120001,28.59,116400,28.59
2016-12-06,27.780001,28.190001,27.65,28.18,188000,28.18
2016-12-05,27.709999,27.950001,27.60,27.790001,82400,27.790001
2016-12-02,27.27,27.57,26.950001,27.50,60200,27.50
2016-12-01,27.139999,27.549999,27.10,27.290001,111400,27.290001
2016-11-30,27.23,27.629999,27.01,27.139999,89700,27.139999
2016-11-29,27.60,27.780001,27.290001,27.370001,60200,27.370001
2016-11-28,26.93,27.620001,26.870001,27.49,126100,27.49
2016-11-25,27.00,27.129999,26.91,26.99,48800,26.99
2016-11-23,26.75,27.10,26.60,27.02,146300,27.02
2016-11-22,26.57,26.790001,26.50,26.73,52900,26.73
2016-11-21,26.50,26.60,26.370001,26.50,48400,26.50
2016-11-18,26.16,26.440001,25.969999,26.42,71500,26.42
2016-11-17,25.85,26.24,25.73,26.110001,276400,26.110001
2016-11-16,25.77,25.91,25.379999,25.809999,180300,25.809999
2016-11-15,25.450001,25.59,25.200001,25.42,89400,25.42
2016-11-14,25.91,25.98,25.379999,25.40,148400,25.40
2016-11-11,24.389999,25.809999,24.389999,25.540001,242600,25.540001
2016-11-10,25.00,25.459999,24.25,24.379999,176500,24.379999
2016-11-09,23.950001,24.90,23.59,24.889999,169100,24.889999
2016-11-08,23.84,24.41,23.73,24.26,190800,24.21
2016-11-07,23.719999,24.09,23.58,23.719999,101700,23.671112
2016-11-04,23.57,23.639999,23.42,23.48,98500,23.431607
2016-11-03,23.48,23.860001,23.379999,23.41,82600,23.361752
2016-11-02,23.440001,23.860001,23.42,23.49,123700,23.441587
2016-11-01,23.67,23.84,23.360001,23.440001,144900,23.39169
